en,cht,pos,description
Axe Clan,戰斧部族,組織,休盎提部落
"Axe, orc double",獸人雙頭斧,武器,
"Axe, throwing",投斧,武器,
Axes,斧,武器組,
Axiomatic,公理,武器附魔,
Axiomatic Barrage,公理轟擊,怪物能力,
Axiomite,奇匠族,怪物,B2
Axis,軸心城,位面,
Aylok,艾洛克,,
Ayrzul,阿依爾祖,神祇,土元素领主 化石國王
Azata,愛塔,術語,生物亞種，全稱愛塔天族；愛塔子域
Azata Subdomain,愛塔子域,術語,牧師領域
"Azata, Brijidine",红焰天使,怪物,愛塔天族
"Azata, Ghaele",迦勒天使,怪物,B1
"Azata, nualidu",水蛇神使,怪物,AP#105
"azata, raelis",睿理神使,怪物,B5
Azathoth,阿撒托斯,神祇,舊日支配者
Azgenzak,火眼蛆,怪物,
Azghaadi Dynasty,阿茲哈迪王朝,國家,
Azir,埃茲耶爾,城市,俗稱的『無神港』
Azlant,阿茲蘭特,大陸,格拉利昂
Azlanti,阿茲蘭特人,種族,人類民族
Azlanti,阿茲蘭特語,語言,阿茲蘭特人的語言
Azlanti Keep,阿茲蘭特堡,地點,艾巴薩羅姆
Azorva,阿佐瓦,,
Azurestone,藍石城,城市,伽爾特
Azvadeva Pujila,七天大智書,物品,烏荼羅
Baalzebul,巴爾澤布,神祇,大魔鬼
Baba Yaga,芭芭·雅伽,人物,伊利森的建国者
Baba Yaga’s Dancing Hut,芭芭·雅伽的跳舞小屋,物品,芭芭·雅伽的神器之一
Babble,狂言亂語,術語,法術名稱（OA）
Baccae,巴克精,怪物,第三方 ToHC：Tome of Horrors Complete
Backar Forest,巴卡爾森林,地點,摩爾蘇恩
backwoods huntsmen,密林獵人,組織,切爾納薩多地区的守护者
Bacul Gruii,巴魯克古魯依,城市,河域諸國
Badelund,巴德隆德,地點,
Badger,獾,動物,CRB
Baegloth,貝格洛斯,,
Baeloc,貝洛克,人物,
Bag Island,包島,地點,鐐銬島
Bagman,口袋怪人,怪物,AP#105
Bagutu,巴格圖,人物,AP#108
Baker’s Circle,麵包師環,地點,
Bakko Harbavich,巴科·哈巴維奇,人物,希望之夏
Bakrakhan,巴克拉罕,地區,瑟西隆
Balan,拜蘭,人物,黑林鎮
Balazastrin,跋羅舍濕羅尊者,人物,
Baldachin,寶蓋鎮,地點,
Baleful Gust,惡意之風,術語,怪物能力
Baleful Polymorph,惡意變形術,法術,CRB
Balor,巴洛炎魔,怪物,B1
Balor Lord,巴洛領主,怪物,強大的巴洛炎魔
Banded Mail,混織鐵甲,防具,
bandersnatch,潘達斯奈基,怪物,B3
Bandeshar,班德夏爾,地點,耐克斯
Bandu Hills,班度山,地點,芒吉莽原
Bane,絕望術,法術,CRB
Banishment,放逐術,法術,CRB
Baphomet,巴風特,神祇,惡魔領主
Baptism of Ice,冰之洗禮,節日,伊利森
Barbarian,野蠻人,術語,核心職業
Barbatos,巴爾巴托斯,神祇,大魔鬼
Barbazu,巴霸魔,怪物,B1
Bard,吟遊詩人,術語,核心職業
Bardha,巴勒達,怪物,AP#107
Bardic Knowledge,逸聞知識,職業能力,
Bardic Performance,吟遊表演,職業能力,
Barding,馬鎧,物品,坐騎或動物使用的盔甲
Barge,駁船,載具,
Barkskin,樹膚術,法術,CRB
Barkskin Lake,樹膚湖,地點,薩迦瓦
Barleybridge,大麥橋,地點,切利亞斯
Barn,穀倉,術語,鈴花會的黑話；祕密的藏身處
Barnabas Harrigan,巴拿巴斯·哈里根,人物,海盜，自由船長
Barometz,綿羊草,怪物,B4
Baron Boalloc,男爵博阿洛克,人物,貝利拉
Baron Gorney,男爵戈尼,人物,伊利森
Baron Grallus,格拉魯斯男爵,人物,薩迦瓦早期統治者
Baron Mikula Kseniya,男爵米庫拉·克謝妮婭,人物,
Baron Sirian First,希利安·福斯特男爵,人物,羅斯特蘭的建立者「剑爵」
Baron Utilinus,烏提利諾斯男爵,人物,薩迦瓦現任統治者
Baron Vasyl Yelizaveta,男爵瓦西爾·伊莉莎薇塔,人物,
Baroness Adrijana,女男爵阿德里亞娜,人物,
Baroness Baelara,女男爵貝拉拉,人物,阿特萬
Baroness Erzabet,女男爵艾扎貝特,,
Baroness Frederyka,女男爵弗雷德麗卡,人物,貝利拉
Baroness Hedvika,女男爵海德薇卡,人物,伊利森
Baroness Helka,女男爵海爾卡,人物,
Baroness Iracetta,女男爵伊拉切塔,人物,
Baroness Jadrana,女男爵雅德拉娜,人物,
Baroness Kessendra,女男爵凱森德拉,人物,希望之夏
Baroness Ladina,女男爵拉蒂娜,人物,
Baroness Marcia,女男爵瑪西亞,人物,特雷齊拉
Baroness Nadya,女男爵娜蒂亞,人物,
Baroness Nedyalka,女男爵涅佳爾卡,人物,
Baroness Pavlina,女男爵帕夫利娜,人物,
Baroness Pribuska,女男爵普里布斯卡,人物,
Baroness Sabina Kseniya,女男爵薩比娜·克謝妮婭,人物,
Baroness Slavena,女男爵斯拉維娜,人物,
Baroness Stepanya,女男爵斯捷潘妮亞,人物,
Baroness Urgalaena,女男爵烏爾加萊娜,人物,
Baroness Urszula,女男爵烏蘇拉,人物,
Baroness Veviane,女男爵薇薇安,人物,伊利森
Baroness Vilhema,女男爵維爾赫瑪,人物,
Baroness Vjera,女男爵維雅拉,人物,索杜拉斯
Baroness Wilimina,女男爵維利米娜,人物,
Baroness Yavonna,女男爵亞馮娜,人物,
Baroness Zoja,女男爵佐婭,人物,
Barony,男爵區,地點,寒心城
Barrier Wall,壁壘山脈,地點,芒吉莽原
Barrowmoor,古墳荒原,地點,奈多
Barrowood,巴羅森林,地點,切利亞斯
Barstoi,巴斯托義,地點,烏斯塔拉夫
Bartleby Keller,巴特爾比·凱勒,人物,AP#107
Barzillai Thrune,巴爾齊萊·特魯恩,人物,阿斯莫迪爾斯教會的高階審判官
Base Atk,基本攻擊加值,術語,怪物數據中簡寫為BAB
Base Attack Bonus,基本攻擊加值,術語,簡稱BAB
base land speed,基礎陸地速度,術語,
Base save bonus,基礎豁免加值,術語,
base value,基礎購買價值,術語,城市屬性
Basilica of the Last Man,末人大教堂,地點,歐帕拉
Basilov,巴斯洛夫,人物,吸血鬼法師
Baslwief,巴索維耶夫,城市,瓦瑞西亞
Bastard Sword,重劍,物品,CRB
Bastardhall,私生子之廳,城市,烏斯塔拉夫
Bastion Devotio,奉獻壁壘,地點,鼎亞堡
Bastion Fanaticus,狂熱壁壘,地點,鼎亞堡
Battle Champion,戰陣勇士,職業能力,戰爭祭司祝福
Battle Companion,戰友,職業能力,戰爭祭司祝福
battle lust,戰鬥慾望,職業能力,戰爭祭司祝福
Battle of a Hundred Kings,百王之戰,事件,"柯倫汀附近爆發,特魯恩打败達維恩家族"
Battle of Deadeye’s Gulch,獵手谷之戰,事件,涅瑪薩斯
Battle of Eight Bridges,八橋之戰,事件,
Battle of Falheart,法爾哈特之戰古戰場,地點,紐梅利亞
Battle of Grasyhot,格拉希霍特之戰古戰場,地點,紐梅利亞
Battle of Nine Stones,九石之戰,事件,矮人被獸人擊潰的戰鬥
Battle of Red Hail,紅雹之戰,事件,
Battle of Reymon’s Field,雷蒙之戰,事件,切利亞斯
Battle of Three Sorrows,三悲決戰,事件,默語暴君在此戰中把阿拉茲妮的遺體交還給歐澤姆騎士團
Battle Rage,戰怒,領域能力,
Battleaxe,戰斧,武器,CRB
Battleflower,霸王花,組織,特里亞克薩斯
Battlewall,戰牆島,地點,林諾姆諸王國
Batul al-Alim,真主的處女,時間,節日
Bay of Deng,登格灣,地點,切利亞斯
Bay of Solva,索爾瓦灣,地點,切利亞斯
Bazza the White,「蒼白的」巴扎,人物,凍枯城
Bazza’s Isle,巴扎島,地點,凍枯城
Bear,熊,動物,CRB
Bear’s Endurance,熊之堅韌,法術,CRB
"Bear’s Endurance, Mass",群體熊之堅韌,法術,CRB
Bearer of the Shattered Shield of Arnisant,阿尼薩恩特碎盾持有者,稱號,烏爾蘇恩
Beast Shape,野獸形態,法術,CRB
Bebilith,狩魔蛛,怪物,B1
Bedlam Boys,瘋小子,組織,艾格利安
Behemoth,比蒙,術語,生物亞種；全稱比蒙巨獸
Behir,青足龍蛇,怪物,B1
Bekyar,巴克亞族,部落,【Mwangi部落】
Belde,拜爾德,城市,切利亞斯
Beldiore Chaintongue,貝爾迪爾·鏈舌,,
Beldrin,貝爾德林,人物,法師，在艾巴薩羅姆的貝爾德林崖（斷崖區的前身）建造多座高塔
Beldrin’s Bluff,貝爾德林崖,地點,艾巴薩羅姆断崖区的前身
Belevais Doctrine,貝爾韋斯主義,,
Belial,貝利亞,神祇,大魔鬼
Belila,貝利拉,地點,陰冷邊區
Belimarius,拜勒瑪瑞烏斯,人物,嫉妒魔印王
Belkzen,貝爾克澤恩,國家,貝爾克澤恩(Hold of)
Bellflower,鈴花號,物品,貿易帆船
Bellflower boathouse,鈴花船屋,地點,艾格利安
Bellflower Crop,鈴花穀物,職業能力,鈴花阡陌客
Bellflower Mutiny,鈴花叛亂,事件,
Bellflower Network,鈴花會,組織,切利亞斯
Bellinia Dorjana,貝利尼亞·多嘉娜,人物,AP#108
Bellinia Silvereye,「銀眼」貝利尼亞,人物,AP#108，同貝利尼亞·多嘉娜
Bellis,貝利斯,城市,安多安
Belnost,貝爾諾斯特,人物,AP#106
Bendiks Poljarny,本迪克斯·波爾賈尼,人物,
Bent Razor,彎剃刀,地點,圖維亞
Beravacru,貝拉瓦克魯,人物,AP#107
Berus,貝魯斯,城市,烏斯塔拉夫
Besmara,貝斯瑪拉,神祇,海盗女王
Besmara’s House,貝斯瑪拉廳,建筑,依利茲瑪格羅提貝斯瑪拉的神殿
Besmara’s Throne,貝斯瑪拉的王座,地點,鐐銬島
Bestana Drovenge,貝斯塔納·德羅文奇,人物,AP#108
Bestiary,《怪物圖鑑》,書名,探索者角色扮演遊戲系列
Bestiary 2,《怪物圖鑑2》,書名,探索者角色扮演遊戲系列
Bestiary 3,《怪物圖鑑3》,書名,探索者角色扮演遊戲系列
Bestiary 4,《怪物圖鑑4》,書名,探索者角色扮演遊戲系列
Bestiary 5,《怪物圖鑑5》,書名,探索者角色扮演遊戲系列
Bestiary 6,《怪物圖鑑6》,書名,探索者角色扮演遊戲系列
Bestow Curse,降咒,法術,CRB
Betrona Harcatha,貝特羅娜·哈卡薩,地點,
Beumhal,貝耶姆哈爾家族,組織,烏斯塔拉夫
Bewitching Brume,妖靄,術語,怪物能力
Beyatan,貝亞坦,人物,AP#108
Bezin Hall,貝贊堂,,
Bezza,貝扎,人物,懦夫與烏鴉
Bhuta,浮陀,怪物,B3
Bika-Rano Isle,比卡-拉諾島,地點,拉哈多姆
Bildt,畢爾達特,城市,林諾姆諸王國
Bilgetown,艙底區,地點,艾格利安
Binding,束縛大法,法術,CRB
bipedal,兩足,術語,生物形態
Bird,禽,動物,CRB
Birthing Stones,育石,地點,阿特羅薩
Bist,碧絲特,人物,AP#106
Biston,比斯頓,城市,瓦瑞西亞
Bit of Luck,走運,領域能力,
"Bitch-Queen of 1,000 Sorrows",千慟狼后,稱號,安卡祖的稱號
Bite,嚙咬,術語,通用怪物能力
Bitter Brotherhood,嚴寒兄弟會,組織,
Black Blizzards,黑風暴,災害,瓦瑞西亞
Black Daggers,黑匕公會,組織,塞娜拉盜賊公會
Black Flow,黑流,地點,雨浸濕地
Black Flow River,黑流河,地點,雨浸濕地
black fog,黑霧風暴,災害,能夠扭曲現實
Black Forks,黑叉鎮,城市,安多安
black kelp beer,黑海草酒,物品,
Black Magga,黑麥加,怪物,湮滅之母
black market connections,黑市客戶,職業能力,遊蕩者天賦
Black Prince,黑王子,人物,死墓騎士
Black Rider,黑騎士,怪物,
Black Sands,黑沙島,地點,卡塔佩什
Black Sovereign,黑君,稱號,科沃斯-庫的稱號
Black Sun,黑日氏族,組織,貝爾克澤恩
Black Sword of War,戰爭黑劍,裝備,祖瑞艾爾的武器
Black Tarn,黑湖,地點,林諾姆諸王國
Black Tentacles,黑觸手,法術,CRB
Black Triune,黑三角,人物,統治帕格萊斯的三人議會
Black Triune of Pangolais,帕格萊斯的黑三角,組織,奈多的三人議會
Black whinnis,黑嘶泣,毒藥,AP#105
Blackaxe,黑斧,物品,垂拉澤爾的武器
Blackfingers,黑指,稱號,諾格巴的稱號
Blackfire Adepts,黑火學士,組織,
blackfire clay,火炭泥,物品,煉金物品
Blackjackets,黑衫軍,組織,杜魯瑪
Blackraven Hall,黑鴉大廳,城市,林諾姆諸王國
Blackravens,黑鴉部隊,組織,特羅海姆邊防衛士
Blackravens,黑鴉部隊,組織,林諾姆諸王國
Blackrose Gardens,黑薔薇花園,地點,艾格利安
Blackstrand,黑灘鎮,城市,幽暗之地
Blacksulfur Pond,黑硫池塘,,
Blade Barrier,劍刃護壁,法術,CRB
bladed cathedral,刀鋒教堂,建築,蘭切奇
Bladed Limbs,刃肢,,
Bladed Scarf,鋸刃巾,物品,異種武器
"Blades, Heavy",重刃,武器組,
"Blades, Light",輕刃,武器組,
Bladewing Bridge,刃翼橋,地點,西冠城
Blakros,布拉克洛斯,名稱,非常有影響力的貴族家族
Blasphemy,瀆神之語,法術,CRB
Blast Rune,衝擊符文,領域能力,
Bleaching,白化病,疾病,
Bleaching,白化侏儒,怪物,
Bleakmarch,陰冷邊區,地點,伊利森
Bleed,流血,術語,通用怪物能力
Bleed,出血術,法術,CRB
Bleeding Attack,流血攻擊,職業能力,
Bleeding Critical,流血重擊,專長,CRB
Bleeding Touch,流血之觸,領域能力,
Blere Guswin,布萊爾·古斯溫,人物,AP#106
Bless,祝福術,法術,CRB
Bless Water,祝福聖水,法術,CRB
Bless Weapon,祝福武器,法術,CRB
Blessed Aspect,祝福聖容,術語,怪物能力
blessed life,生命祝福,能力,怪物能力
Blessing of Courage and Life,生命和勇氣祝福,法術,APG
Blessing of Pain,痛苦祝福,,
Blight,枯化,術語,生物亞種
Blight,枯萎術,法術,CRB
Blind Eye,盲眼,地點,
Blind Eye Ferry,盲眼渡口,地點,
Blind-Fight,盲鬥,專長,CRB
Blinding Critical,致盲重擊,專長,CRB
Blinding Ray,目盲射線,職業能力,
Blinding Savagery,兇殘致盲,,
Blinding Sickness,失明症,疾病,CRB
blindness/deafness,目盲術/耳聾術,法術,CRB
Blindsense,盲感,術語,通用怪物能力
Blindsight,盲視,術語,通用怪物能力
Blink,閃現術,法術,CRB
blink dogs,閃現犬,怪物,B2
Blissy,布莉西,人物,AP#105
Blisterwell,皰牆堡,城市,貝爾克澤恩
Bloatmages,臃腫法師,組織,組織或职业
Block Attacks,招架攻擊,術語,通用怪物能力
Blood,鮮血子域,術語,牧師領域
blood boar,血野豬,動物,
blood caiman,血凱門鱷,動物,鱷魚；河域諸國
Blood Drain,吸血,術語,通用怪物能力
Blood for Blood,以血還血,書名,冒險之路#34
Blood Lords,鮮血領主,組織,蓋布的死靈法師集團
Blood Marquis,鮮血侯爵,稱號,煞克斯的稱號(帶The)
Blood Mistress Jakalyn,「鮮血女士」紮克琳,人物,猩紅要塞的首领
Blood Moon,血月號,物品,雙桅橫帆船（brig）
Blood of Fiends,《魔物血脈》,書名,BoF
Blood Rage,鮮血狂怒,術語,通用怪物能力
Blood Subdomain,鮮血子域,術語,牧師領域
Blood Trail,血路氏族,組織,貝爾克澤恩
blood-bards,血腥詩人,組織,雨浸濕地
Bloodcove,血灣,城市,芒吉莽原
bloodfire sorcerer,血火術士,怪物,NPC志
Bloodglister,血光島,地點,蒸氣之海
bloodless revolution,無血革命,稱號,
bloodline,血統,職業能力,術士職業能力
bloodline arcana,血統奧祕,職業能力,術士能力
bloodline power,狂血之力,能力,血脈狂怒者能力
Bloodmerchant Towers,血商塔林,地點,寒心城
bloodrager,血脈狂怒者,職業,混合職業
Bloodstone Conservatory,血石學院,地點,伊利森
Bloodstones of Arazni,阿拉茲妮的血石,神器,阿拉茲妮的遺骸，奧羅登信仰的聖物
Bloodsworn Vale,血誓山谷,地點,瓦瑞西亞
Bloody Tears and Jagged Smile,血淚與利齒獰笑,術語,法術
Blooming Caves,綻放洞穴,地點,坎塔瑞亞
Blowgun,吹箭,武器,CRB
Blue Fang,藍牙區,地點,
blue-skinned trolls,藍色皮膚的巨魔,怪物,
bluebird,藍鳥,術語,鈴花會的信使
Bluff,唬騙,術語,技能
Blur,朦朧術,法術,CRB
Boali,波阿里,城市,芒吉莽原
Boar,野豬,動物,CRB
Boar’s Head,野豬頭,地點,羅德
Board of Patrons,贊助人董事會,組織,銜尾蛇財團
Boarwood,野豬之林,地點,伽爾特
Bocksale,波克薩萊,人物,凍枯城
Bocksale’s District,波克薩萊區,地點,凍枯城
Bodie’s Haunt,博迪之棲,地點,河域諸國
bogeyman,可怖之人,怪物,B3
boggard,"沼蜍人, 沼蜍人語",怪物,B1
Boiltongue,「沸舌」,人物,艾斯崔德的蛇龍
Bolas,套牛繩,武器,CRB
Bolgart Caggan,博爾加特·卡根,人物,地獄復仇AP#103
bolgia,煉獄溝壑,名詞,瑪爾伯格的特殊地貌
Boliga Bharsolm,伯利嘉·巴索羅姆女王,人物,紐梅利亞
Bolka,波絡卡,神祇,矮人神系
Bologrod Menesk,博洛格羅德·梅涅斯克,人物,灰木城
Bolouisia Gramel,玻盧西亞·格萊美爾,人物,地獄復仇AP#103
Bolt,弩矢,武器,
Bonded Object,聯結物品,職業能力,
Bone Bridge,白骨橋,地點,白王座
Bone Mill,白骨磨坊,地點,白王座
Bone Road,白骨大道,地點,伊利森白王座
Boneyard,骨園,位面,法拉茲瑪的位面
Boniface Paint,博尼費斯塗料,物品,煉金物品
bonus,加值/獎勵,術語,數字或專有名詞后用加值
Bonus Feats,獎勵專長,職業能力,
bonus spell,獎勵法術,術語,
Bonus Tricks,額外技巧,職業能力,
Bonuwat,博諾瓦特族,部落,芒吉部落
Book of One Thousand Whispers,千語之書,物品,
Boot of the Winter Jarl,冬日領主之靴,裝備,
border guard,邊境守衛,,怪物
Border Wood,邊境森林,地點,塔爾多
boreal creature template,寒帶生物模板,術語,怪物模板
Boreal Manticore,寒帶蠍尾獅,怪物,
Boreal Ogre,寒帶食人魔,怪物,伊利森
Borogrim the Hale,「強壯的」博羅格瑞姆,人物,五王山脈的至高王
Borume,博爾默,人物,
Bosorka,博索爾卡,地點,精怪之霜
Botosani,博圖薩尼,城市,拉哈多姆
bound,束縛,術語,
Bound,誓縛者,稱號,特魯恩誓縛代理人的簡稱
Boundless Sea,無盡之海,地點,水元素位面的別名(帶The)
Bounty hunter,賞金獵人,怪物,NPC志
Bows,弓,武器組,
Bozel-Oth,博澤爾-歐什,,
Bozidara Aelena,波齊達拉·阿萊娜,人物,盧多夫內
Brace,迎擊,術語,
bracelet of friends,友伴手鐲,物品,CRB
Bracers of Armor,防禦護腕,物品,
Brackett,布拉克特,人物,阿拉瑪斯分部的隊長
Brackish Emperor,鹹水皇帝,稱號,凱利贊錐的稱號(帶The)
Bradon,布拉頓,人物,AP#104
Braganza,布拉哥薩,城市,摩爾蘇恩
Braid of a Hundred Masters,千宗鞭,物品,
brain oozes,腦泥怪,,
"Azata, Bralani",巴拉尼天使,怪物,愛塔天族
Bramble Armor,荊棘護甲,領域能力,
Bramila Gellintha,布拉米拉·格林塔,人物,AP#106
Brandy Whitewell,白蘭地·白井,人物,鈴花會的首位農人
Branthlend Mountains,布蘭斯萊德山脈,地點,河域諸國
Brastle River,布拉斯托河,地點,切利亞斯
Brastlewark,布拉斯托瓦克,城市,切利亞斯
brawler,拳師,職業,混合職業
Brazen Peaks,黃銅峰,地點,卡塔佩什
Break Enchantment,破除魔咒,法術,CRB
breaker barge,破冰駁船,物品,特雷齊拉巡冰隊的戰船
Breastplate,胸甲,防具,
Breath of Life,生命之息,法術,CRB
Breath Weapon,噴吐武器,術語,通用怪物能力
Brega Nosebreaker,布雷加·破鼻者,人物,
Brenezoi,布雷內佐伊,地點,盧多夫內
Brenwyr,布倫維爾,人物,AP#108
Bretheda,布萊賽達,行星,搖籃
Brevic,布雷斡的,,
Brevic noble houses,布雷斡的貴族家族,組織,布雷斡
Brevoy,布雷斡,國家,布雷斡
Brew Potion,調製藥水,專長,CRB
Brextur,布雷克斯托,人物,AP#104
Briar Henge,石楠之環,地點,塔爾多
Briarpatch,石楠里,地點,艾格利安
Briarstone Asylum,棘石島精神病院,地點,AP#109
Briarwood,石楠森林,地點,塔爾多(帶The)
Bridge of the Gods,諸神之橋,筑物,格拉利昂世界最傑出的工程學奇觀之一 連接阿肯斯塔城，頓加堡和掠雲城堡
Bridgeside,橋畔區,地點,艾格利安
Brightness,心靈之光,理念,精靈的一種特殊信仰
Brilliant Energy,光能,武器附魔,
Brimstone Barbazu,硫磺石巴霸魔,物品,AP#104
Brimstone Haruspex,魔界硫磺哈露斯配克斯,城市,貝爾克澤恩
Brimstone Spring,硫磺泉鎮,城市,奈多
Brimstone Springs,硫磺泉鎮,,
